resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
18883,784,577,6,34,3,1,1,1,4.0,98,3:00:03.7,10803700,\N,\N,\N,\N,1
18947,787,581,6,8,3,1,1,1,8.0,36,2:40:00.3,9600300,\N,\N,\N,\N,1
18962,788,581,6,14,3,1,1,1,8.0,61,2:34:23.4,9263400,\N,\N,\N,\N,1
18982,789,579,6,1,2,1,1,1,8.0,101,2:59:47.0,10787000,\N,\N,\N,\N,1
19010,790,579,6,1,1,1,1,1,9.0,22,3:38:43.7,13123700,\N,\N,\N,\N,1
19078,793,427,6,44,9,1,1,1,8.0,100,2:58:09.8,10689800,\N,\N,\N,\N,1
19301,803,498,6,9,2,1,1,1,8.14,90,2:56:14.0,10574000,\N,\N,\N,\N,1
19394,807,578,6,38,3,1,1,1,8.0,80,3:13:52.1,11632100,\N,\N,\N,\N,1
19416,808,647,6,10,1,1,1,1,9.0,97,3:01:04.6,10864600,\N,\N,\N,\N,1
19465,810,647,6,2,1,1,1,1,8.0,90,2:53:35.8,10415800,\N,\N,\N,\N,1
19484,811,647,6,10,2,1,1,1,8.0,36,2:48:30.3,10110300,\N,\N,\N,\N,1
19504,812,578,6,16,7,1,1,1,8.0,60,2:44:18.6,9858600,\N,\N,\N,\N,1
19529,813,647,6,5,1,1,1,1,8.5,90,2:50:00.0,10200000,\N,\N,\N,\N,1
19556,814,642,6,12,3,1,1,1,8.0,18,3:02:25.0,10945000,\N,\N,\N,\N,1
19590,815,647,6,46,2,1,1,1,9.0,65,3:01:34.40,10894400,\N,\N,\N,\N,1
19640,817,641,6,30,2,1,1,1,9.0,62,3:01:46.1,10906100,\N,\N,\N,\N,1
19694,819,647,6,4,1,1,1,1,9.0,36,3:03:46.3,11026300,\N,\N,\N,\N,1
19716,820,647,6,8,1,1,1,1,9.0,77,3:00:00.0,10800000,\N,\N,\N,\N,1
19736,821,647,6,15,2,1,1,1,9.0,85,2:46:11.0,9971000,\N,\N,\N,\N,1
19768,822,647,6,101,1,1,1,1,9.0,18,3:06:13.3,11173300,\N,\N,\N,\N,1
19798,823,647,6,2,1,1,1,1,9.0,90,2:53:28.5,10408500,\N,\N,\N,\N,1
19816,824,647,6,12,1,1,1,1,8.5,80,2:50:45.6,10245600,\N,\N,\N,\N,1
19941,829,498,6,12,1,1,1,1,8.0,90,2:42:18.2,9738200,\N,\N,\N,\N,1
19961,830,647,6,71,1,1,1,1,8.0,20,3:23:03.3,12183300,\N,\N,\N,\N,1
19983,831,647,6,2,3,1,1,1,8.0,80,2:42:39.3,9759300,\N,\N,\N,\N,1
20267,784,579,6,34,3,1,1,1,5.0,98,3:00:03.7,10803700,\N,\N,\N,\N,1
20323,337,4,6,8,3,1,1,1,25.0,49,1:39:20.396,5960396,45,1,1:58.287,191.706,1
20563,347,4,6,8,2,1,1,1,25.0,67,1:27:38.864,5258864,66,2,1:15.880,217.005,1
20635,350,4,6,8,1,1,1,1,25.0,53,1:16:24.572,4584572,52,1,1:24.139,247.861,1
20659,351,4,6,8,1,1,1,1,25.0,61,1:57:53.579,7073579,58,1,1:47.976,169.137,1
20707,353,4,6,8,3,1,1,1,25.0,55,2:48:20.810,10100810,42,1,1:50.257,183.335,1
20968,849,4,6,5,3,1,1,1,25.0,52,1:28:41.196,5321196,41,1,1:34.908,223.454,1
21256,861,4,6,5,8,1,1,1,25.0,56,2:44:51.812,9891812,53,7,1:41.680,196.250,1
21400,867,4,6,5,11,1,1,1,25.0,57,1:44:16.649,6256649,40,5,1:43.666,188.185,1
21448,869,4,6,5,1,1,1,1,25.0,67,1:31:05.862,5465862,66,2,1:19.044,208.319,1
21756,882,4,6,3,3,1,1,1,25.0,56,1:36:26.945,5786945,46,4,1:39.506,197.210,1
21800,884,4,6,3,5,1,1,1,25.0,66,1:39:16.596,5956596,53,5,1:26.681,193.329,1
22556,927,20,6,5,2,1,1,1,25.0,56,1:41:05.793,6065793,46,3,1:43.648,193.501,1
22716,936,20,6,5,3,1,1,1,25.0,69,1:46:09.985,6369985,63,5,1:26.772,181.759,1
22776,939,20,6,5,1,1,1,1,25.0,61,2:01:22.118,7282118,53,2,1:50.069,165.659,1
23379,969,20,6,5,2,1,1,1,25.0,57,1:24:11.672,5051672,53,3,1:26.638,220.351,1
23419,971,20,6,5,3,1,1,1,25.0,57,1:33:53.374,5633374,36,4,1:33.826,207.652,1
23479,974,20,6,5,2,1,1,1,25.0,78,1:44:44.340,6284340,38,2,1:15.238,159.669,1
23582,979,20,6,5,1,1,1,1,25.0,70,1:39:46.713,5986713,69,4,1:20.807,195.176,1
23742,987,20,6,5,2,1,1,1,25.0,71,1:31:26.262,5486262,63,7,1:12.539,213.849,1
23782,989,20,6,5,3,1,1,1,25.0,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1
23802,990,20,6,5,1,1,1,1,25.0,57,1:32:01.940,5521940,21,7,1:34.453,206.274,1
23902,995,20,6,5,1,1,1,1,25.0,68,1:28:31.377,5311377,57,2,1:13.964,212.260,1
23962,998,20,6,5,2,1,1,1,25.0,52,1:27:29.784,5249784,47,1,1:30.696,233.831,1
24023,1001,20,6,5,2,1,1,1,25.0,44,1:23:34.476,5014476,25,2,1:46.644,236.435,1
24123,1006,8,6,7,2,1,1,1,25.0,56,1:34:18.643,5658643,45,5,1:38.482,201.527,1
24446,1022,844,6,16,1,1,1,1,25.0,44,1:23:45.710,5025710,23,4,1:46.664,236.390,1
24466,1023,844,6,16,1,1,1,1,25.0,53,1:15:26.665,4526665,47,4,1:23.009,251.235,1
24486,1024,20,6,5,3,1,1,1,25.0,61,1:58:33.667,7113667,57,5,1:44.802,173.916,1
25406,1074,844,6,16,1,1,1,1,26.0,57,1:37:33.584,5853584,51,1,1:34.570,206.018,1
25446,1076,844,6,16,1,1,1,1,26.0,58,1:27:46.548,5266548,58,1,1:20.260,236.740,1
25586,1083,832,6,55,1,1,1,1,25.0,52,2:17:50.311,8270311,44,2,1:30.813,233.530,1
25606,1084,844,6,16,2,1,1,1,25.0,71,1:24:24.312,5064312,62,2,1:07.583,230.010,1
26126,1113,832,6,55,1,1,1,1,25.0,62,1:46:37.418,6397418,47,7,1:37.666,182.089,1
26326,1123,832,6,55,2,1,1,1,25.0,58,1:20:26.843,4826843,48,3,1:20.031,237.418,1
26425,1128,844,6,16,1,1,1,1,25.0,78,2:23:15.554,8595554,\N,0,\N,\N,1
